category,severity,check_name,object_type,object_name,details,recommendation
security,high,broad table grant,table grant,daily_summaries,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,daily_summaries,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,daily_summaries,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,daily_summaries,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,daily_summaries,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,daily_summaries,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,group_members,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,group_members,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,group_members,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,group_members,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,group_members,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,group_members,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,groups,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,groups,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,groups,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,groups,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,groups,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,groups,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,profiles,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,profiles,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,profiles,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,profiles,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,profiles,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,profiles,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_overview,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_overview,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_overview,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_overview,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_overview,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_overview,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_subject_totals,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_subject_totals,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_subject_totals,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_subject_totals,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_subject_totals,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_subject_totals,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,study_sessions,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,study_sessions,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,study_sessions,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,study_sessions,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,study_sessions,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,study_sessions,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subject_weekly_goals,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
